country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,Development_Index,Trade_Balance,Health_Impact_Ratio,segment
Afghanistan,90.2,10.0,7.58,44.9,1610.0,9.44,56.2,5.82,553,24.60310421286031,-34.9,0.08403547671840354,High Risk Country
Albania,16.6,28.0,6.55,48.6,9930.0,4.49,76.3,1.65,4090,849.1746987951806,-20.6,0.394578313253012,Emerging Economy
Algeria,27.3,38.4,4.17,31.4,12900.0,16.1,76.5,2.89,4460,638.6996336996336,7.0,0.15274725274725273,Emerging Economy
Angola,119.0,62.3,2.85,42.9,5900.0,22.4,60.1,6.16,3530,79.74873949579832,19.4,0.023949579831932775,High Inflation Risk
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100.0,1.44,76.8,2.13,12200,3046.291262135922,-13.399999999999999,0.5854368932038835,Emerging Economy
Argentina,14.5,18.9,8.1,16.0,18700.0,20.9,75.8,2.37,10300,2005.2275862068966,2.8999999999999986,0.5586206896551724,Emerging Economy
Armenia,18.1,20.8,4.4,45.3,6700.0,7.77,73.3,1.69,3220,552.1160220994474,-24.499999999999996,0.2430939226519337,Other
Australia,4.8,19.8,8.73,20.9,41400.0,1.16,82.0,1.93,33130,15544.166666666668,-1.0999999999999979,1.81875,Developed Nation
Austria,4.3,51.3,11.0,47.8,43200.0,0.873,80.5,1.44,33130,17769.883720930233,3.5,2.558139534883721,Developed Nation
Azerbaijan,39.2,54.3,5.88,20.7,16000.0,13.8,69.1,1.92,5840,558.9056122448978,33.599999999999994,0.15,Emerging Economy
Bahamas,13.8,35.0,7.89,43.7,22900.0,5.39,73.8,1.86,28000,3693.753623188406,-8.700000000000003,0.5717391304347825,Emerging Economy
Bahrain,8.6,69.5,4.97,50.9,41100.0,7.44,76.0,2.16,20700,7194.883720930233,18.6,0.577906976744186,Other
Bangladesh,49.4,16.0,3.52,21.8,2440.0,7.14,70.4,2.33,758,66.16194331983806,-5.800000000000001,0.07125506072874495,Low GDP Trap
Barbados,14.2,39.5,7.97,48.7,15300.0,0.321,76.7,1.78,16000,2209.6267605633802,-9.200000000000003,0.5612676056338028,Emerging Economy
Belarus,5.5,51.4,5.61,64.5,16200.0,15.1,70.4,1.49,6030,4054.618181818182,-13.100000000000001,1.02,Emerging Economy
Belgium,4.5,76.4,10.7,74.7,41100.0,1.88,80.0,1.86,33130,16513.333333333332,1.7000000000000028,2.3777777777777778,Developed Nation
Belize,18.8,58.2,5.2,57.5,7880.0,1.14,71.4,2.71,4340,653.7978723404254,0.7000000000000028,0.2765957446808511,Other
Benin,111.0,23.8,4.1,37.2,1820.0,0.885,61.8,5.36,758,23.781981981981982,-13.400000000000002,0.036936936936936934,High Risk Country
Bhutan,42.7,42.5,5.2,70.7,6420.0,5.99,72.1,2.38,2180,203.0936768149883,-28.200000000000003,0.12177985948477751,Other
Bolivia,46.6,41.2,4.84,34.3,5410.0,8.78,71.6,3.2,1980,160.12017167381975,6.900000000000006,0.103862660944206,Low GDP Trap
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720.0,1.4,76.8,1.31,4610,2087.942028985507,-21.599999999999998,1.6086956521739129,Emerging Economy
Botswana,52.5,43.6,8.3,51.3,13300.0,8.92,57.1,2.88,6350,375.3733333333333,-7.699999999999996,0.15809523809523812,Emerging Economy
Brazil,19.8,10.7,9.01,11.8,14500.0,8.41,74.2,1.8,11200,1301.7272727272727,-1.1000000000000014,0.45505050505050504,Emerging Economy
Brunei,10.5,67.4,2.84,28.0,51967.5,16.7,77.1,1.84,33130,8111.866666666667,39.400000000000006,0.2704761904761905,High Inflation Risk
Bulgaria,10.8,50.2,6.87,53.0,15300.0,1.11,73.9,1.57,6840,2056.8425925925926,-2.799999999999997,0.6361111111111111,Emerging Economy
Burkina Faso,116.0,19.2,6.74,29.6,1430.0,6.81,57.9,5.87,575,17.783620689655173,-10.400000000000002,0.05810344827586207,High Risk Country
Burundi,93.6,8.92,11.6,39.2,764.0,12.3,57.7,6.26,231,11.246794871794872,-30.28,0.12393162393162394,High Risk Country
Cambodia,44.4,54.1,5.68,59.5,2520.0,3.12,66.1,2.88,786,75.9481981981982,-5.399999999999999,0.12792792792792793,Low GDP Trap
Cameroon,108.0,22.2,5.13,27.0,2660.0,1.91,57.3,5.11,1310,37.28981481481482,-4.800000000000001,0.0475,High Risk Country
Canada,5.6,29.1,11.3,31.0,40700.0,2.87,81.3,1.63,33130,13198.44642857143,-1.8999999999999986,2.0178571428571432,Developed Nation
Cape Verde,26.5,32.7,4.09,61.8,5830.0,0.505,72.5,2.67,3310,347.64150943396226,-29.099999999999994,0.15433962264150944,Other
Central African Republic,142.875,11.8,3.98,26.5,888.0,2.01,47.5,5.21,446,9.669291338582678,-14.7,0.027856517935258094,High Risk Country
Chad,142.875,36.8,4.53,43.5,1930.0,6.39,56.5,6.59,897,20.181977252843396,-6.700000000000003,0.031706036745406826,High Risk Country
Chile,8.7,37.7,7.96,31.3,19400.0,8.96,79.1,1.88,12900,3721.7356321839084,6.400000000000002,0.9149425287356323,Emerging Economy
China,15.7,26.3,5.07,22.6,9530.0,6.94,74.6,1.59,4560,902.203821656051,3.6999999999999993,0.3229299363057325,Emerging Economy
Colombia,18.6,15.9,7.59,17.8,10900.0,3.86,76.4,2.01,6250,926.1505376344086,-1.9000000000000004,0.4080645161290322,Emerging Economy
Comoros,88.2,16.5,4.51,51.7,1410.0,3.87,65.9,4.75,769,25.452380952380953,-35.2,0.05113378684807256,High Risk Country
"Congo, Dem. Rep.",116.0,41.1,7.91,49.6,609.0,20.8,57.5,6.54,334,8.625,-8.5,0.0681896551724138,High Risk Country
"Congo, Rep.",63.9,85.1,2.46,54.7,5190.0,20.7,60.4,4.95,2740,125.04538341158059,30.39999999999999,0.038497652582159626,High Inflation Risk
Costa Rica,10.2,33.2,10.9,35.0,13000.0,6.57,80.4,1.92,8200,2086.3137254901962,-1.7999999999999972,1.0686274509803924,Emerging Economy
